Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
APOLLO,EQ,235.8,14.9,7864.7,889.6,2062.01
HDFCBANK,EQ,1965.5,-1.29,1508922.17,99.17,1952.27
NETWEB,EQ,2306,11.76,13064.38,68.98,1569.85
BSE,EQ,2334.9,0.12,94963.67,59.1,1377.1
OLAELEC,EQ,46.98,-3.75,20722.08,2682.3,1296.62
IDEA,EQ,7.02,7.18,76056.81,16599.29,1160.29
ICICIBANK,EQ,1435.9,-0.7,1025168.84,66.57,956.43
M&M,EQ,3400.1,0.74,422812.24,25.1,853.31
RSYSTEMS,EQ,450,6.26,5327.26,176.98,837.94
INFY,EQ,1487.9,-0.57,618128.75,55.43,827.13
RELIANCE,EQ,1409.9,-1.05,1907943.32,58.19,822.78
PAYTM,EQ,1263.2,1.41,80652.66,60.69,767.18
VEDL,EQ,444.95,-0.44,173992.72,167.18,745.38
ETERNAL,EQ,318.75,-0.95,307604.93,228.7,733.92
ABFRL,EQ,81.16,7.28,9903.68,874.82,702.22
HEROMOTOCO,EQ,4992.3,-2.06,99879.88,13.57,680.88
APOLLOHOSP,EQ,7930,0.04,114021.23,8.44,668.46
SWIGGY,EQ,424.9,-2.48,105955.06,154.08,661.43
MARUTI,EQ,14370,0.63,451796.5,4.59,657.41
HAL,EQ,4480,0.13,299611.2,14.23,640.89
BHARTIARTL,EQ,1933,0.16,1102216.96,32.72,631.88
INDUSTOWER,EQ,353,1.42,93127.15,169.77,601.64
BAJFINANCE,EQ,896.1,0.06,556831.75,64.25,576.09
BEL,EQ,375.15,0.25,274226.35,152.47,575.26
ROHLTD,EQ,475.15,10.82,1303.11,115.71,557.75
DCXINDIA,EQ,266.5,6.88,2968.45,195.88,538.85
ITC,EQ,398.3,-1.79,498986.28,130.88,523.39
ZEEL,EQ,122.9,4.94,11804.78,425.81,520.68
WAAREEENER,EQ,3175,-1.5,91212.42,16.15,517.25
DIXON,EQ,16894,1.01,102211.93,3.05,514.37
GODFRYPHLP,EQ,10550,-4.77,54853.59,4.67,505.86
TITAGARH,EQ,857,0.22,11541.54,58.6,503.85
SWANENERGY,EQ,474.9,3,14886.07,104.19,503.32
SAGILITY,EQ,46.24,1.6,21646.46,1059.33,495.13
TCS,EQ,3054.7,-1.54,1105217.19,15.94,489.05
GPIL,EQ,238.6,6.9,15971.96,192.46,454.04
FORCEMOT,EQ,20409,-6.8,26598.87,2.13,439.17
TATAMOTORS,EQ,680.95,-0.65,250722.95,64.3,438.52
TVSMOTOR,EQ,3290.6,0.3,156332.17,13.24,435.7
JMFINANCIL,EQ,192.4,1.41,18396.56,216.37,422.85
DIVISLAB,EQ,6154,2.09,163369.36,6.82,418.8
SBIN,EQ,816.8,-1.08,753956.84,50.98,417.66
AXISBANK,EQ,1070.7,-0.76,332155.14,38.54,413.27
HCLTECH,EQ,1467.1,-1.77,398121.81,28.03,412.28
NAZARA,EQ,1146,-4.91,10613.82,34.14,397.12
HINDALCO,EQ,702.65,-0.66,157901.37,56.23,396.95
SUZLON,EQ,58.68,0.89,80428.45,674.11,395.5
COFORGE,EQ,1747.9,1.14,58464.16,22.63,394.13
LT,EQ,3592,-0.57,494083.85,10.6,382.05
MCX,EQ,7960.5,0.42,40597.25,4.7,376.98
OLECTRA,EQ,1560,1.94,12804.59,23.85,374.75
INDIGO,EQ,6083.5,-0.25,235154.67,5.96,363.72
PGEL,EQ,565.85,1.2,16034.53,63.9,363.11
KOTAKBANK,EQ,1983.3,-1.71,394383.66,17.92,357.15
KROSS,EQ,190,11.1,1225.68,184.35,354.39
LEMONTREE,EQ,168.9,1.54,13381.04,208.05,352.59
KRN,EQ,954,9.38,5929.74,37.13,349.68
HDFCAMC,EQ,5823,0.5,124576.48,5.93,346.5
SUNPHARMA,EQ,1639.5,-0.04,393361.37,20.98,345.16
WIPRO,EQ,248.74,-0.47,260760.2,135.73,338.31
HINDUNILVR,EQ,2631.9,-0.61,618388.92,12.23,321.92
BAJAJ-AUTO,EQ,8685,0.01,242535.23,3.7,320.04
MAZDOCK,EQ,2700,-2.45,108912.6,11.27,307.35
VMM,EQ,150.79,0.36,70288.81,204.84,307.07
ANGELONE,EQ,2522,-0.62,22858.95,12,304.28
ULTRACEMCO,EQ,12605,-2.06,371443.1,2.27,288.25
NTPC,EQ,336.95,-0.55,326729.17,85.35,287.68
IDEAFORGE,EQ,498,7.72,2151.58,56.11,287.21
JIOFIN,EQ,320.5,-1.03,203618.19,88,284.29
VBL,EQ,516.55,-0.14,174695.21,54.6,281.31
INDIACEM,EQ,375.55,-3.94,11638.19,73.04,279.97
CLEAN,EQ,1155.3,0.55,12277.06,23.92,274.93
PERSISTENT,EQ,5350,0.05,83674,4.78,257.12
TATASTEEL,EQ,158.3,-1.99,197614.24,160.64,256.64
CGPOWER,EQ,680,0.36,107073.03,37.33,253.98
CIPLA,EQ,1592,-0.05,128594.45,15.75,250.8
TITAN,EQ,3618.9,0.07,321280.93,6.92,250.55
CDSL,EQ,1575,0.35,32917.5,15.76,248.89
LIQUIDBEES,EQ,1000,0,11515.61,24.86,248.6
PFC,EQ,399.2,-0.26,131740.06,61.99,247.1
FINCABLES,EQ,851.9,0.12,13028.9,28.22,245.83
TRENT,EQ,5420,-0.6,192674.2,4.44,241.36
PTCIL,EQ,13700,2.49,20528.25,1.62,229.58
JAYNECOIND,EQ,61,-2.45,5923.09,363.69,227.63
CPPLUS,EQ,1344,4.27,15754.62,17.17,227.38
AMBER,EQ,7259,-1,24601.54,3.02,222.01
EIEL,EQ,268,3.18,4704.2,81.51,219.4
CUMMINSIND,EQ,3924.7,0.99,108792.68,5.59,218.15
SHRIRAMFIN,EQ,616.25,-0.57,115911.48,34.96,215.31
MBEL,EQ,466.7,3.46,2667.11,44.19,210.91
DMART,EQ,4694.3,0.05,305473.62,4.5,210.83
SOLARINDS,EQ,14845,1.81,134332.49,1.41,209.77
JSWSTEEL,EQ,1054.4,-1.62,257848.67,19.5,205.94
POWERINDIA,EQ,19860,-1.14,88520.71,1.03,205.34
HBLENGINE,EQ,800.1,0.67,22178.37,25.37,203.42
UNOMINDA,EQ,1267.9,3.03,73007.95,15.89,199.79
AUROPHARMA,EQ,1053,1.15,61158.41,18.73,195.98
POWERGRID,EQ,283.8,-0.07,263951.14,68.25,193.13
ENRIN,EQ,3367,2.11,119905.77,5.72,192.9
MANKIND,EQ,2609.1,0.35,107685.06,7.31,191.4
BELRISE,EQ,146.49,1.6,13035.84,130.5,191.39
LTF,EQ,222.77,0.44,55669.11,85.35,190.82
INDUSINDBK,EQ,761.9,-0.72,59356.27,24.84,189.84
GRASIM,EQ,2807.8,-2.55,191075.57,6.72,189.8
KALYANKJIL,EQ,513.45,0.48,52982.66,36.62,187.41
GODREJCP,EQ,1257,0.77,128600.46,14.81,186.16
MAXHEALTH,EQ,1229.9,-1.62,119574.18,14.89,184.59
ALLTIME,EQ,316,3.96,2070.05,57.88,183.47
JINDALSTEL,EQ,997.25,-1.08,101728.29,18.18,181.51
COALINDIA,EQ,374.3,-1.02,230670.92,46.99,176.32
BLACKBUCK,EQ,638.5,3.23,11450.33,27.57,175.26
KAYNES,EQ,6212,1.08,41593.75,2.8,173.13
HYUNDAI,EQ,2365,-3.42,192165.97,6.95,167.39
FORTIS,EQ,934.8,-1.35,70573.49,17.78,166.47
POLICYBZR,EQ,1901.2,-0.35,87313.99,8.66,165.58
ADANIPORTS,EQ,1340.9,-1.53,289653.03,12.1,163.01
EICHERMOT,EQ,5930,-0.75,162646.85,2.73,162.5
NAVA,EQ,670,-0.78,18961.09,24.12,161.42
BHARATFORG,EQ,1124.8,-2.54,53767.54,14.14,160.59
TRANSRAILL,EQ,776.5,-1.94,10424.98,20.15,159.61
DRREDDY,EQ,1275,-0.13,106406.49,12.3,157.2
BRITANNIA,EQ,5568,-0.53,134115.47,2.7,150.28
NAUKRI,EQ,1382,-2.18,89542.63,10.84,150.11
FOSECOIND,EQ,6380,13.7,4074.56,2.41,149.65
POLYMED,EQ,2060.3,4.87,20876.14,7.24,149.27
KIOCL,EQ,436,-1.86,26497.95,34.45,149.16
PHOENIXLTD,EQ,1574,-0.1,56279.31,9.4,148.61
TECHM,EQ,1503,-1.2,147184.43,9.7,146.22
IDBI,EQ,94.9,-2.75,102040.3,152.12,145.67
ASHOKLEY,EQ,131.15,0.11,77025.11,110.93,145.28
COLPAL,EQ,2296,-2.32,62447.9,6.21,143.81
BANKBARODA,EQ,240.7,-1.09,124474.69,59.46,143.66
CRIZAC,EQ,351.1,2.17,6143.64,40.88,143
CANBK,EQ,109.99,-0.97,99768.09,128.54,142.11
INDHOTEL,EQ,789.9,-0.72,112436.91,17.81,141.14
IZMO,EQ,587.55,19.99,875.04,24.79,141.11
BAJAJFINSV,EQ,1967.6,-0.63,314385.73,7.09,139.67
BDL,EQ,1517.5,-0.16,55625.86,9.12,138.75
PARADEEP,EQ,220,0.78,17937.83,61.89,136.91
LAURUSLABS,EQ,877.45,-1.4,47366.94,15.48,136.64
ADANIENT,EQ,2323,-2.28,268116.18,5.84,136.6
SJVN,EQ,99.4,2.11,39062.16,135.66,134.52
ARIES,EQ,434.9,14.46,565.56,30.7,133.67
SMLISUZU,EQ,4530,2.77,6555.66,2.92,133.62
ASIANPAINT,EQ,2505,-2.4,240279.05,5.24,131.95
JSWCEMENT,EQ,153.29,-0.45,20899.02,85.36,131.73
RECLTD,EQ,376.1,-1.18,99035.55,34.79,131.26
ONGC,EQ,236.2,-0.88,297146.19,54.24,128.54
RVNL,EQ,323.9,-1.45,67533.8,38.77,125.85
KARURVYSYA,EQ,258.45,0.1,20809.8,48.26,125.36
PNBHOUSING,EQ,800.05,-0.52,20837.48,15.49,123.9
GRSE,EQ,2556.9,-0.88,29289.8,4.76,122.99
POLYCAB,EQ,7116,0.44,107112.35,1.72,122.71
JKCEMENT,EQ,6828,-4.29,52758.76,1.76,121.6
TIINDIA,EQ,3082,-0.5,59636.05,3.77,118.09
TATAPOWER,EQ,385.6,-0.63,123212.29,30.43,117.53
UPL,EQ,713.55,0.15,53559.61,16.36,116.91
ABCAPITAL,EQ,285.7,-1.92,74617.26,40.34,116.08
ASTRAL,EQ,1421.7,0.02,38191.8,8.11,115.76
VIMTALABS,EQ,654,-8.17,2910.66,17.24,115.72
MARICO,EQ,731.7,-1.07,94966.96,15.79,115.32
ZENTEC,EQ,1492.6,4.99,13476.74,7.75,113.56
GAIL,EQ,176.3,-0.83,115919.01,64.25,113.56
SBILIFE,EQ,1857,-1.08,186136.64,6.06,112.75
ABB,EQ,5067.5,-1.44,107384.57,2.2,112.13
PIDILITIND,EQ,3080,0.03,156670.08,3.58,110.43
DHANI,EQ,65.05,7.34,3932.93,169,109.24
RBLBANK,EQ,254.4,0.1,15561.24,42.86,108.79
JSWENERGY,EQ,517.5,-0.73,90447.02,20.99,108.68
IDFCFIRSTB,EQ,69.6,-0.68,51062.87,154.33,107.96
NESTLEIND,EQ,1159.8,-1.66,223645.89,9.22,107.62
HUBTOWN,EQ,347,1.42,4705.34,30.71,106.81
INOXWIND,EQ,144.06,0.97,23397.18,73.38,106.22
HDFCLIFE,EQ,789.5,-0.75,170172.59,13.32,105.27
